                                                 Nearest Neighbour Results                                                 
---------------------------------------------------------------------------------------------------------------------------
    Dataset     |  Baseline  |       10%        |       25%        |       50%        |       75%        |       100%      
anneal          |     23.83% | 20.31% (0.94%) * | 18.00% (1.33%) * | 11.18% (0.77%) * |  9.11% (0.37%) * |  7.44% (0.44%) *
audiology       |     74.77% | 60.17% (2.17%) * | 42.00% (2.56%) * | 31.85% (2.13%) * | 29.62% (1.78%) * | 26.47% (1.81%) *
autos           |     67.35% | 64.50% (1.50%) * | 61.40% (2.21%) * | 65.96% (2.02%)   | 52.92% (2.39%) * | 57.37% (0.95%) *
credit-a        |     44.49% | 39.98% (1.05%) * | 41.35% (0.99%) * | 32.04% (1.50%) * | 34.63% (0.79%) * | 34.71% (0.73%) *
hypothyroid     |      7.71% |  8.27% (0.52%) * |  7.33% (0.18%) * |  4.74% (0.14%) * |  5.01% (0.13%) * |  4.79% (0.10%) *
letter          |     96.26% | 16.86% (0.35%) * |  9.61% (0.20%) * |  6.05% (0.08%) * |  4.71% (0.06%) * |  3.93% (0.07%) *
microarray      |     50.20% | 59.47% (2.55%) * | 49.58% (2.36%)   | 42.45% (0.83%) * | 50.71% (0.95%)   | 50.88% (0.60%)  
vote            |     38.63% |  6.45% (1.01%) * | 10.42% (1.16%) * |  8.26% (0.55%) * |  7.12% (0.19%) * |  7.91% (0.39%) *

                                                   Decision Tree Results                                                   
---------------------------------------------------------------------------------------------------------------------------
    Dataset     |  Baseline  |       10%        |       25%        |       50%        |       75%        |       100%      
anneal          |     23.83% |  9.53% (1.81%) * |  3.61% (0.59%) * |  1.43% (0.33%) * |  1.40% (0.31%) * |  0.78% (0.21%) *
audiology       |     74.77% | 61.00% (4.29%) * | 44.93% (4.43%) * | 29.95% (1.44%) * | 22.03% (1.76%) * | 23.09% (2.18%) *
autos           |     67.35% | 67.50% (4.03%)   | 48.17% (3.73%) * | 32.94% (3.18%) * | 29.79% (3.11%) * | 21.45% (3.48%) *
credit-a        |     44.49% | 20.21% (2.24%) * | 12.79% (1.48%) * | 20.37% (1.81%) * | 19.63% (1.57%) * | 19.59% (1.24%) *
hypothyroid     |      7.71% |  2.89% (0.50%) * |  1.58% (0.30%) * |  0.68% (0.07%) * |  0.74% (0.10%) * |  0.62% (0.08%) *
letter          |     96.26% | 28.70% (0.41%) * | 21.37% (0.44%) * | 16.41% (0.28%) * | 13.40% (0.11%) * | 11.76% (0.16%) *
microarray      |     50.20% | 51.50% (3.39%)   | 51.90% (2.98%)   | 51.46% (2.43%)   | 45.74% (2.31%) * | 49.44% (0.75%)  
vote            |     38.63% | 14.75% (2.61%) * |  5.81% (1.79%) * |  7.18% (1.25%) * |  3.17% (0.48%) * |  5.72% (0.71%) *
